series;.model;.type;ME;RMSE;MAE;MPE;MAPE;MASE;ACF1
r_exp_othg;ets;Training;0.077067829;1.027342206;0.772161356;-0.034245223;6.921064299;0.321918945;-0.009189239
r_exp_goods;arima;Training;0.144407105;2.879551539;2.234155522;-0.218519269;7.049198584;0.297058664;-0.107530061
r_exp_othg;arima;Training;0.135448981;1.121424019;0.827810484;0.375738843;7.152260567;0.345119417;-0.027479138
usd_eur;snaive;Training;-0.009880162;0.126825576;0.103138736;-1.296157111;8.044555777;1;0.922682173
r_exp_oil;arima;Training;0.083461775;1.324173091;1.006196806;0.217075429;8.543600885;0.323606224;-0.003040201
v_exp_op;snaive;Training;0.569721529;1.247433464;0.970659237;4.751853956;8.678436993;1;-0.17424957
v_exp_gas;ets;Training;-0.014302696;1.668376525;1.308904724;-0.652392981;8.796400634;0.46332045;-0.002118815
r_exp_gas;ets;Training;0.025054896;0.582811651;0.400639112;-0.278904887;8.846932809;0.333141842;-0.025491241
r_exp_oil;ets;Training;0.096018859;1.368578956;1.061544747;0.149019672;9.050586722;0.341406856;-0.121006154
v_exp_gas;arima;Training;-0.064583193;1.830588909;1.440620182;-1.938141872;9.581661587;0.50994452;-0.045091973
r_exp_op;ets;Training;0.084602679;0.794999485;0.614748765;0.61707051;9.953683843;0.349741574;-0.07615833
r_exp_op;arima;Training;0.068819197;0.854594888;0.661915281;-0.041338684;10.96917965;0.376575449;-0.001302985
r_exp_gas;arima;Training;0.029102255;0.725200558;0.517839731;-0.763223606;11.55850464;0.430597205;0.010259783
rub_usd;snaive;Training;3.102751678;8.767771312;5.818322148;5.496862938;12.21205716;1;0.931209181
r_bal_trade;arima;Training;0.001853845;1.95042152;1.479548616;-3.251549047;13.51906055;0.347696738;-0.000520501
r_exp_serv;snaive;Training;0.033333333;0.836327953;0.666666667;-0.826355983;13.92590963;1;0.674931495
r_bal_trade;ets;Training;0.074637144;2.003615938;1.562118113;-1.729949496;14.19127606;0.367100726;-0.022880082
r_bal_serv;arima;Training;0.046256569;0.636145401;0.430713449;-2.960233925;15.66841367;0.472734273;0.013762245
r_imp_serv;snaive;Training;-0.195833333;1.726790536;1.340277778;-4.329490479;17.30861875;1;0.838339848
r_imp_all;snaive;Training;-1.406222222;6.167554947;4.502611111;-6.739543194;17.43266618;1;0.931499173
r_bal_serv;ets;Training;0.035724282;0.640184703;0.473301589;-4.475878662;17.80720676;0.519477353;0.140548188
p_exp_gas;snaive;Training;0.017881749;0.080825328;0.0594635;2.971581713;19.4307464;1;0.943613022
r_exp_all;snaive;Training;-1.138375;8.305809887;6.794763889;-5.247800711;19.68704469;1;0.905686776
rate_repo;snaive;Training;0.122765261;2.748568964;1.772602202;-2.511563702;20.22817259;1;0.938026511
v_exp_gas;snaive;Training;-0.076499434;3.837591483;2.825052778;-4.46048024;20.5289284;1;0.762493181
r_exp_othg;snaive;Training;0.775194288;2.895453054;2.398620426;3.277649382;21.38562956;1;0.844424315
r_imp_goods;snaive;Training;0.593291667;5.496157251;4.425083333;-0.403106896;23.16160678;1;0.944601595
rate_10tr;snaive;Training;-0.167786667;0.691121919;0.576413333;-8.58500117;23.47262477;1;0.879489821
gas_lng;snaive;Training;0.329979134;3.279150064;2.591154553;-0.86925182;24.2697445;1;0.966280452
r_exp_goods;snaive;Training;1.011020833;9.213132291;7.520923611;-1.155705405;24.39502103;1;0.929198763
r_bal_inv;arima;Training;0.145567773;1.176159152;0.791196364;-7.644458492;27.23697141;0.681413136;-0.032789395
gas_europe;snaive;Training;-0.109082797;2.889747109;2.152066072;-7.304086083;27.37264921;1;0.949447042
r_exp_gas;snaive;Training;0.278062812;1.515487;1.202608202;-0.25423148;27.80602827;1;0.792048985
r_bal_inv;ets;Training;0.100637683;1.133126984;0.863759766;-9.737920495;28.23242266;0.743907932;-0.095736408
p_exp_oil;snaive;Training;0.046134855;0.19557758;0.151474418;1.35800868;28.35100129;1;0.954651388
r_exp_oil;snaive;Training;0.849806164;3.927544954;3.109324635;0.804633823;28.49321014;1;0.878422501
p_exp_op;snaive;Training;0.041722335;0.195526199;0.148333197;0.166943398;28.63940278;1;0.952278602
r_exp_op;snaive;Training;0.767805784;2.150581295;1.757722875;5.061830693;30.51364167;1;0.838572549
brent;snaive;Training;0.339351848;27.78104503;21.03489652;-6.92422861;30.80510897;1;0.949863457
r_price_cur_purch;snaive;Training;3.201230769;11.09853024;3.201230769;34.64052288;34.64052288;1;0.910524572
r_bal_serv;snaive;Training;0.230555556;1.1311253;0.911111111;-15.53619303;34.74671781;1;0.705675055
r_bal_trade;snaive;Training;0.417729167;5.026833283;4.255284722;-7.324604804;38.00783801;1;0.845709282
r_bal_inv;snaive;Training;0.252777778;1.671493012;1.161111111;-22.36475569;44.59917677;1;0.224336958
r_cur_account;arima;Training;0.458633354;2.468422962;1.82251102;-17.08891464;85.54937727;0.54448462;-0.081395524
r_cur_account;ets;Training;0.161245589;2.268959651;1.808766791;-18.81875985;87.58855548;0.54037846;-0.008836713
r_cur_account;snaive;Training;0.591666667;4.356349134;3.347222222;-18.63255654;145.3041146;1;0.640018737
r_dif_reserves;arima;Training;-0.095964319;6.267511158;4.466215954;85.71795069;176.4846259;0.688434058;-0.004763306
r_dif_reserves;ets;Training;-0.023432128;6.545573678;4.622276489;80.23948966;221.6811324;0.712489632;-0.030640757
r_dif_reserves;snaive;Training;0.109722222;9.089837121;6.4875;63.55981415;422.7224545;1;0.280913979
r_bal_fin;snaive;Training;0.716666667;10.00273574;7.402777778;Inf;Inf;1;0.19850579
r_bal_rent;snaive;Training;-0.016666667;0.044095855;0.016666667;#NAME?;Inf;1;0.678240741
r_bal_sinc;snaive;Training;-0.041666667;0.294392029;0.225;#NAME?;Inf;1;0.219803307
r_bal_wage;snaive;Training;0.123611111;0.270030862;0.198611111;Inf;Inf;1;0.830181268
r_cap_account;snaive;Training;0.058333333;5.558402049;1.305555556;;Inf;1;0.000144212
r_cur_purch;snaive;Training;0.262;1.183413143;0.416666667;#NAME?;Inf;1;0.819830648
r_dum_cur_purch;snaive;Training;0.06;0.316227766;0.1;#NAME?;Inf;1;0.861438451
r_errors;snaive;Training;0.180555556;2.996154943;2.366666667;;Inf;1;-0.181980285
r_bal_fin;ets;Training;0.201413506;7.742117121;5.608345342;#NAME?;Inf;0.757600121;0.144908109
r_bal_rent;ets;Training;-0.002895507;0.023335578;0.006404391;#NAME?;Inf;0.384263453;-0.155371394
r_bal_sinc;ets;Training;-0.010476103;0.200664526;0.15840545;#NAME?;Inf;0.704024222;-0.001227223
r_bal_wage;ets;Training;0.006223955;0.108314358;0.068216289;Inf;Inf;0.343466632;-0.015687528
r_cap_account;ets;Training;-0.060505485;3.625903178;1.017205882;Inf;Inf;0.77913642;-0.023378087
r_cur_purch;ets;Training;0.030066343;0.586171868;0.183707968;#NAME?;Inf;0.440899122;-0.005070364
r_dum_cur_purch;ets;Training;0.006172963;0.136082765;0.018521709;#NAME?;Inf;0.185217088;-0.001940454
r_errors;ets;Training;0.000945669;2.384317785;1.722927314;Inf;Inf;0.727997456;-0.059286324
r_price_cur_purch;ets;Training;0.247809534;3.087326318;0.247809534;Inf;Inf;0.077410706;-0.006148782
r_bal_fin;arima;Training;0.023046149;7.332429935;5.411657623;#NAME?;Inf;0.731030673;-0.036723591
r_bal_rent;arima;Training;-0.002436611;0.02264513;0.006146259;;Inf;0.368775518;-0.00075228
r_bal_sinc;arima;Training;-0.019761246;0.215463331;0.153709617;#NAME?;Inf;0.683153851;-0.039068445
r_bal_wage;arima;Training;0.003746276;0.100460669;0.069025074;Inf;Inf;0.347538834;-0.003038758
r_cap_account;arima;Training;-2.84E-12;3.625206226;1.071882086;Inf;Inf;0.821016066;-0.023380817
r_cur_purch;arima;Training;0.037342338;0.519714603;0.170716224;;Inf;0.409718938;0.063323733
r_dum_cur_purch;arima;Training;0.00617284;0.136082763;0.018518519;#NAME?;Inf;0.185185185;-0.002074583
r_errors;arima;Training;-0.069132033;2.281704639;1.667307173;;Inf;0.704495989;-0.115948697
