n_y,n_c,n_j,n_ex,n_im,n_ds,n_g
2269.85471227183,1101.96791596428,377.184629922369,745.82445635486,419.436062083913,88.9538743545454,375.359897759691
2269.85471227183,1101.96791596428,377.184629922369,745.82445635486,419.436062083913,88.9538743545454,375.359897759691
2269.85471227183,1101.96791596428,377.184629922369,745.82445635486,419.436062083913,88.9538743545454,375.359897759691
2328.28484576116,1167.28492084972,416.473464314081,752.749223995696,446.684809039268,42.4210309739215,396.041014667005
2328.28484576116,1167.28492084972,416.473464314081,752.749223995696,446.684809039268,42.4210309739215,396.041014667005
2328.28484576116,1167.28492084972,416.473464314081,752.749223995696,446.684809039268,42.4210309739215,396.041014667005
2467.49501384346,1229.1420034368,451.421187894085,763.469680802359,464.38837633993,70.5838849394572,417.266633110688
2467.49501384346,1229.1420034368,451.421187894085,763.469680802359,464.38837633993,70.5838849394572,417.266633110688
2467.49501384346,1229.1420034368,451.421187894085,763.469680802359,464.38837633993,70.5838849394572,417.266633110688
2544.67023883784,1294.06507908222,490.515834933324,747.487394689651,512.595709445261,90.2288490667541,434.968790511153
2544.67023883784,1294.06507908222,490.515834933324,747.487394689651,512.595709445261,90.2288490667541,434.968790511153
2544.67023883784,1294.06507908222,490.515834933324,747.487394689651,512.595709445261,90.2288490667541,434.968790511153
2656.71234099423,1331.83781665454,509.893782999871,754.248378907125,534.728573469995,138.192205722054,457.268730180642
2656.71234099423,1331.83781665454,509.893782999871,754.248378907125,534.728573469995,138.192205722054,457.268730180642
2656.71234099423,1331.83781665454,509.893782999871,754.248378907125,534.728573469995,138.192205722054,457.268730180642
2839.92910592638,1428.55446752814,572.172430543861,791.164529349258,570.248657755421,135.845024710303,482.441311550247
2839.92910592638,1428.55446752814,572.172430543861,791.164529349258,570.248657755421,135.845024710303,482.441311550247
2839.92910592638,1428.55446752814,572.172430543861,791.164529349258,570.248657755421,135.845024710303,482.441311550247
3019.23745289098,1526.85933172752,603.466182528041,822.809202290284,595.024790743823,150.777248759163,510.350278329801
3019.23745289098,1526.85933172752,603.466182528041,822.809202290284,595.024790743823,150.777248759163,510.350278329801
3019.23745289098,1526.85933172752,603.466182528041,822.809202290284,595.024790743823,150.777248759163,510.350278329801
3332.77199175091,1628.96231143466,727.887901854614,945.92610191662,636.409220458609,120.852039037886,545.552857965737
3332.77199175091,1628.96231143466,727.887901854614,945.92610191662,636.409220458609,120.852039037886,545.552857965737
3332.77199175091,1628.96231143466,727.887901854614,945.92610191662,636.409220458609,120.852039037886,545.552857965737
3478.58398714559,1683.83423609846,750.255489801675,1056.38881139331,692.174313812444,100.547990874119,579.731772790467
3478.58398714559,1683.83423609846,750.255489801675,1056.38881139331,692.174313812444,100.547990874119,579.731772790467
3478.58398714559,1683.83423609846,750.255489801675,1056.38881139331,692.174313812444,100.547990874119,579.731772790467
3743.29529001688,1802.41253652196,809.742909815975,1087.69911245518,744.474681732113,167.614304333085,620.301108622798
3743.29529001688,1802.41253652196,809.742909815975,1087.69911245518,744.474681732113,167.614304333085,620.301108622798
3743.29529001688,1802.41253652196,809.742909815975,1087.69911245518,744.474681732113,167.614304333085,620.301108622798
3914.32247310004,1927.97713873874,826.28497963343,1182.03040310255,798.326739818516,118.47361168351,657.883079760322
3914.32247310004,1927.97713873874,826.28497963343,1182.03040310255,798.326739818516,118.47361168351,657.883079760322
3914.32247310004,1927.97713873874,826.28497963343,1182.03040310255,798.326739818516,118.47361168351,657.883079760322
3612.3683273659,1955.53224561816,857.911504954564,958.818743160683,743.209959734068,-112.857092776671,696.172886143233
3612.3683273659,1955.53224561816,857.911504954564,958.818743160683,743.209959734068,-112.857092776671,696.172886143233
3612.3683273659,1955.53224561816,857.911504954564,958.818743160683,743.209959734068,-112.857092776671,696.172886143233
3252.20158647809,1916.00426391054,764.965169375791,779.755219783567,670.7475105962,-197.072848291939,659.297292296337
3252.20158647809,1916.00426391054,764.965169375791,779.755219783567,670.7475105962,-197.072848291939,659.297292296337
3252.20158647809,1916.00426391054,764.965169375791,779.755219783567,670.7475105962,-197.072848291939,659.297292296337
3403.15494272798,1922.1432980878,734.380430102029,850.566358831531,631.124719429053,-163.985641953469,691.17521708914
3403.15494272798,1922.1432980878,734.380430102029,850.566358831531,631.124719429053,-163.985641953469,691.17521708914
3403.15494272798,1922.1432980878,734.380430102029,850.566358831531,631.124719429053,-163.985641953469,691.17521708914
3609.66823260738,1931.5757256888,759.594347146162,983.321263896699,634.469634720005,-140.232902757528,709.879433353253
3609.66823260738,1931.5757256888,759.594347146162,983.321263896699,634.469634720005,-140.232902757528,709.879433353253
3609.66823260738,1931.5757256888,759.594347146162,983.321263896699,634.469634720005,-140.232902757528,709.879433353253
3589.7136469932,1983.31711123506,740.184833333126,970.116673323258,682.13071928676,-157.627796068236,735.853544456745
3589.7136469932,1983.31711123506,740.184833333126,970.116673323258,682.13071928676,-157.627796068236,735.853544456745
